id	parent_id	scientific_name	rank	extinct	english_label	wikidata_id	wikipedia_url	source_id
738GY	5MM4	Megachile barbiellinii	species	false	Megachile barbiellinii	Q2696824	https://en.wikipedia.org/wiki/Megachile_barbiellinii	2144
738GZ	5MM4	Megachile bangana	species	false	Megachile bangana	Q2294011	https://en.wikipedia.org/wiki/Megachile_bangana	2144
738H2	5MM4	Megachile cochisiana	species	false	Megachile cochisiana	Q10792186	https://en.wikipedia.org/wiki/Megachile_cochisiana	2144
738H4	5MM4	Megachile ciliatipes	species	false	Megachile ciliatipes	Q1915085	https://en.wikipedia.org/wiki/Megachile_ciliatipes	2144
738H6	5MM4	Megachile brachysoma	species	false	Megachile brachysoma	Q2689804	https://en.wikipedia.org/wiki/Megachile_brachysoma	2144
738H7	5MM4	Megachile bidentis	species	false	Megachile bidentis	Q1998964	https://en.wikipedia.org/wiki/Megachile_bidentis	2144
738H8	5MM4	Megachile bhavanae	species	false	Megachile bhavanae	Q2855879	https://en.wikipedia.org/wiki/Megachile_bhavanae	2144
738H9	5MM4	Megachile bellula	species	false	Megachile bellula	Q2532144	https://en.wikipedia.org/wiki/Megachile_bellula	2144
738HB	5MM4	Megachile auriculata	species	false	Megachile auriculata	Q10792177	https://en.wikipedia.org/wiki/Megachile_auriculata	2144
738HD	5MM4	Megachile ambigua	species	false	Megachile ambigua	Q2157022	https://en.wikipedia.org/wiki/Megachile_ambigua	2144
738HF	5MM4	Megachile agustini	species	false	Megachile agustini	Q1937855	https://en.wikipedia.org/wiki/Megachile_agustini	2144
738HN	5MM4	Megachile laminopeds	species	false	Megachile laminopeds	Q2779319	https://en.wikipedia.org/wiki/Megachile_laminopeds	2144
738HP	5MM4	Megachile laevinasis	species	false	Megachile laevinasis	Q2275658	https://en.wikipedia.org/wiki/Megachile_laevinasis	2144
738HS	5MM4	Megachile kuehni	species	false	Megachile kuehni	Q2398736	https://en.wikipedia.org/wiki/Megachile_kuehni	2144
738HT	5MM4	Megachile junodi	species	false	Megachile junodi	Q2014298	https://en.wikipedia.org/wiki/Megachile_junodi	2144
738HV	5MM4	Megachile ingens	species	false	Megachile ingens	Q3293977	https://en.wikipedia.org/wiki/Megachile_ingens	2144
738HX	5MM4	Megachile grandibarbis	species	false	Megachile grandibarbis	Q2317039	https://en.wikipedia.org/wiki/Megachile_grandibarbis	2144
738HY	5MM4	Megachile fusca	species	false	Megachile fusca	Q2332929	https://en.wikipedia.org/wiki/Megachile_fusca	2144
